ID	Parent1	Parent2	Sex	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_grd_cvr	ptn_grd_sig	ptn_grd_hgt	ptn_grd_agl	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	col_mac_lmv	col_mac_rgv	col_mac_byv	col_top_lmv	col_top_rgv	col_top_byv	col_bot_lmv	col_bot_rgv	col_bot_byv	col_grd_sig	col_grd_hgt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp
Gen0_Mut0_ID0	-	-	-	0.5965	0.0711	0.8612	0.3748	0.1160	0.8757	0.4111	0.9979	0.8219	0.4522	0.1211	0.5618	0.9617	0.7388	0.3770	0.9090	0.3693	0.9587	0.6852	0.5459	0.5663	0.3176	0.2228	0.7246	0.3883	0.3186	0.9878	0.8406	0.8628	0.3896	0.8936	0.5756	0.2553	0.7625	0.1645	0.1623	0.6737
Gen0_Mut0_ID1	-	-	-	0.1087	0.0401	0.1984	0.4976	0.3137	0.1143	0.5970	0.5160	0.7585	0.0583	0.1877	0.7347	0.1495	0.9411	0.4403	0.6556	0.7276	0.6503	0.8433	0.6729	0.5781	0.8190	0.5265	0.7204	0.1704	0.5851	0.8226	0.1014	0.9889	0.4637	0.4678	0.1685	0.7378	0.6542	0.9866	0.2686	0.6208
Gen0_Mut0_ID2	-	-	-	0.0035	0.2534	0.7655	0.6200	0.3046	0.9611	0.6214	0.9966	0.1401	0.7667	0.8960	0.0189	0.7117	0.3501	0.8139	0.1992	0.6388	0.9201	0.8108	0.3838	0.8796	0.0762	0.7789	0.5800	0.4514	0.3393	0.6374	0.1216	0.2313	0.7397	0.3462	0.6088	0.6142	0.5676	0.5621	0.8497	0.3061
Gen0_Mut0_ID3	-	-	-	0.3359	0.2791	0.6029	0.2413	0.8313	0.0342	0.8499	0.1672	0.7056	0.1235	0.6277	0.5000	0.2496	0.3240	0.4774	0.1621	0.6243	0.7962	0.7738	0.2655	0.7215	0.5701	0.5813	0.6753	0.3761	0.4771	0.6135	0.7444	0.7153	0.3853	0.5793	0.7561	0.0617	0.8208	0.2140	0.3080	0.1579
Gen0_Mut0_ID4	-	-	-	0.7271	0.1631	0.2063	0.3887	0.4816	0.5715	0.7917	0.0482	0.7467	0.6526	0.7403	0.6468	0.2521	0.7374	0.5291	0.8332	0.0060	0.8641	0.2555	0.2956	0.7095	0.4989	0.6671	0.9030	0.2855	0.3926	0.7746	0.5792	0.7475	0.7815	0.2932	0.8439	0.0404	0.5856	0.9778	0.4088	0.4724
Gen0_Mut0_ID5	-	-	-	0.7291	0.2289	0.9658	0.2089	0.9244	0.7985	0.6644	0.1588	0.4904	0.3444	0.2383	0.0460	0.1260	0.8272	0.8372	0.3758	0.3186	0.4840	0.6457	0.4245	0.5781	0.2910	0.3862	0.8786	0.6604	0.7841	0.6237	0.7538	0.0242	0.5363	0.3156	0.3250	0.6241	0.9743	0.9264	0.7772	0.6572
Gen0_Mut0_ID6	-	-	-	0.2323	0.6658	0.5042	0.9088	0.5275	0.4510	0.6203	0.1383	0.2778	0.1556	0.6513	0.9660	0.2258	0.8525	0.8377	0.3433	0.3345	0.2440	0.5065	0.3466	0.5714	0.2368	0.7606	0.7856	0.0324	0.3802	0.5627	0.2300	0.8659	0.5202	0.2162	0.9024	0.7523	0.7941	0.5688	0.6904	0.6812
Gen0_Mut0_ID7	-	-	-	0.5839	0.1997	0.0140	0.3867	0.8971	0.1001	0.2911	0.2066	0.9547	0.1347	0.1266	0.0041	0.6580	0.6786	0.1657	0.6033	0.5537	0.6551	0.2489	0.3049	0.8239	0.4494	0.7171	0.9538	0.5482	0.7226	0.5869	0.3929	0.2694	0.3254	0.9304	0.5948	0.1945	0.8275	0.4761	0.7530	0.3654
Gen0_Mut0_ID8	-	-	-	0.9910	0.1642	0.1261	0.4364	0.7873	0.2781	0.0668	0.2431	0.2673	0.9212	0.8664	0.6494	0.2242	0.1862	0.9348	0.0135	0.5951	0.2289	0.7915	0.4358	0.8738	0.6498	0.3571	0.8084	0.0749	0.6932	0.5772	0.7383	0.2995	0.3276	0.6625	0.1339	0.6354	0.8148	0.0214	0.1565	0.6495
Gen0_Mut0_ID9	-	-	-	0.7390	0.2935	0.3624	0.4187	0.2058	0.9377	0.2192	0.3176	0.1625	0.4188	0.8692	0.3779	0.9560	0.7053	0.2148	0.8494	0.0842	0.5961	0.6929	0.4451	0.7949	0.6629	0.3587	0.8228	0.1453	0.2864	0.5762	0.3500	0.3324	0.3705	0.7289	0.4056	0.7814	0.6450	0.6071	0.9737	0.0411
Gen0_Mut0_ID10	-	-	-	0.0755	0.7151	0.6209	0.1966	0.1669	0.0680	0.6346	0.0643	0.0314	0.2674	0.0070	0.8865	0.9261	0.5177	0.2430	0.5140	0.9216	0.4167	0.4737	0.4235	0.7213	0.3201	0.6048	0.7453	0.3774	0.2124	0.6995	0.5407	0.6553	0.5946	0.8320	0.0993	0.0831	0.4667	0.6177	0.3619	0.5396
Gen0_Mut0_ID11	-	-	-	0.4658	0.0395	0.9200	0.2868	0.0987	0.4604	0.5163	0.6789	0.4269	0.3156	0.8252	0.3936	0.5427	0.8245	0.3085	0.0489	0.4649	0.8004	0.3265	0.7551	0.5685	0.1667	0.6862	0.5912	0.0133	0.4854	0.6791	0.9741	0.0103	0.6457	0.1738	0.4269	0.4807	0.7699	0.3456	0.1398	0.5182
Gen0_Mut0_ID12	-	-	-	0.1423	0.6986	0.8902	0.7419	0.8045	0.8724	0.7670	0.2433	0.0101	0.7828	0.4603	0.3023	0.3504	0.4074	0.6774	0.6299	0.6880	0.0115	0.6020	0.7706	0.8898	0.3875	0.7421	0.8547	0.1716	0.3034	0.6477	0.9532	0.3438	0.9960	0.5266	0.7422	0.0105	0.6962	0.2223	0.5257	0.2224
Gen0_Mut0_ID13	-	-	-	0.3411	0.2896	0.0286	0.1337	0.7985	0.3843	0.5916	0.2727	0.0278	0.0165	0.1898	0.7254	0.6002	0.6399	0.3284	0.8690	0.6723	0.2519	0.3202	0.4992	0.9265	0.7495	0.3483	0.8713	0.8369	0.7368	0.9064	0.6659	0.7165	0.2226	0.3788	0.5704	0.3830	0.1756	0.2821	0.3016	0.5015
Gen0_Mut0_ID14	-	-	-	0.4719	0.9674	0.0865	0.9006	0.8935	0.8331	0.2906	0.4747	0.5261	0.9014	0.7184	0.3244	0.2022	0.7675	0.2690	0.5252	0.6444	0.6596	0.4806	0.6618	0.8256	0.0894	0.3254	0.8115	0.7079	0.4134	0.8847	0.0549	0.1459	0.4648	0.6375	0.4057	0.8096	0.4818	0.3374	0.7973	0.5822
Gen0_Mut0_ID15	-	-	-	0.3040	0.4052	0.8201	0.2746	0.1166	0.3560	0.7890	0.2431	0.4946	0.8223	0.9983	0.4545	0.9311	0.9822	0.2266	0.8000	0.4871	0.4164	0.4867	0.2799	0.6355	0.1240	0.1918	0.6579	0.4834	0.4770	0.9399	0.7409	0.3393	0.3090	0.8562	0.5144	0.9686	0.3729	0.1281	0.9192	0.5015
Gen0_Mut0_ID16	-	-	-	0.7971	0.2240	0.1649	0.8143	0.3504	0.9010	0.0448	0.2065	0.2045	0.1321	0.2585	0.1929	0.9924	0.7125	0.4239	0.5439	0.6599	0.4208	0.6343	0.7010	0.8815	0.6639	0.7731	0.9486	0.8377	0.2399	0.7300	0.0808	0.2730	0.4792	0.7537	0.1944	0.0364	0.6324	0.2081	0.4141	0.4827
Gen0_Mut0_ID17	-	-	-	0.6438	0.1053	0.0950	0.7550	0.6818	0.6664	0.3486	0.3037	0.0475	0.3380	0.9701	0.7254	0.1989	0.7112	0.6408	0.6952	0.5970	0.7184	0.7029	0.3516	0.6086	0.4193	0.3746	0.8703	0.0639	0.6346	0.8874	0.3228	0.1753	0.4789	0.4921	0.0922	0.4930	0.7301	0.0404	0.7683	0.4202
Gen0_Mut0_ID18	-	-	-	0.0966	0.5874	0.1894	0.3676	0.4966	0.5741	0.7744	0.4021	0.2608	0.8374	0.8613	0.4930	0.6264	0.7477	0.4105	0.1664	0.3677	0.4545	0.6578	0.2005	0.5709	0.1273	0.6148	0.8844	0.5218	0.2412	0.7160	0.9152	0.1128	0.9319	0.5778	0.3563	0.7330	0.9403	0.0905	0.1008	0.1939
Gen0_Mut0_ID19	-	-	-	0.3091	0.8733	0.9388	0.4993	0.0701	0.1482	0.8685	0.2439	0.8131	0.7849	0.3831	0.5961	0.5638	0.3488	0.3567	0.0414	0.1741	0.6996	0.6219	0.6221	0.8476	0.0304	0.2951	0.7784	0.8192	0.5326	0.7109	0.8475	0.9786	0.4184	0.4704	0.4214	0.3753	0.6224	0.5028	0.5280	0.5498
Gen0_Mut0_ID20	-	-	-	0.3278	0.0590	0.2673	0.7710	0.7894	0.2439	0.9395	0.1000	0.5411	0.3408	0.4530	0.8759	0.5279	0.1802	0.4162	0.8932	0.0842	0.1655	0.3019	0.6541	0.6425	0.5811	0.2052	0.6523	0.1471	0.7517	0.6176	0.8928	0.3054	0.7625	0.7351	0.9933	0.7043	0.3058	0.8272	0.1843	0.0873
Gen0_Mut0_ID21	-	-	-	0.3598	0.6824	0.5064	0.4548	0.9815	0.6041	0.4159	0.1782	0.0105	0.4947	0.8413	0.3996	0.5315	0.8690	0.6664	0.4207	0.0475	0.6570	0.5915	0.6943	0.8614	0.6113	0.7029	0.6888	0.6789	0.3972	0.9244	0.0445	0.9762	0.0599	0.9156	0.0637	0.4658	0.2353	0.9644	0.1781	0.8191
Gen0_Mut0_ID22	-	-	-	0.1573	0.1026	0.0360	0.6272	0.3402	0.1825	0.9073	0.9857	0.5917	0.4964	0.2627	0.5560	0.6359	0.9915	0.3630	0.8652	0.8357	0.1493	0.5698	0.6834	0.6331	0.5466	0.6616	0.5769	0.7897	0.7270	0.7974	0.6718	0.9870	0.4094	0.0273	0.9583	0.9717	0.6903	0.6375	0.7245	0.9673
Gen0_Mut0_ID23	-	-	-	0.8384	0.8599	0.9178	0.4113	0.2564	0.5892	0.1786	0.3662	0.2389	0.8036	0.4257	0.3425	0.2840	0.1807	0.9687	0.7017	0.9001	0.3307	0.6405	0.3726	0.9764	0.6129	0.7897	0.7409	0.6783	0.2119	0.7159	0.2367	0.9272	0.6938	0.3488	0.1618	0.7949	0.3935	0.2360	0.7436	0.3233
