ID	Parent1	Parent2	Sex	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_grd_cvr	ptn_grd_sig	ptn_grd_hgt	ptn_grd_agl	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	col_mac_lmv	col_mac_rgv	col_mac_byv	col_top_lmv	col_top_rgv	col_top_byv	col_bot_lmv	col_bot_rgv	col_bot_byv	col_grd_sig	col_grd_hgt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp
Gen5_Mut0_ID0	Gen4_Mut0_ID1	Gen1_Mut0_ID8	-	0.1304	0.6957	0.3478	0.6087	0.5006	0.2174	0.4062	0.2242	0.0435	0.6516	0.3043	0.1535	0.6996	0.2174	0.2040	0.7734	0.6500	0.1739	0.2174	0.3913	0.1707	1	0.2049	0.1174	0.9748	0.2609	0.3043	0.0870	0.9565	0.1739	0.0176	0.7826	0.9565	0.4238	0.9748	0.2174	0.4269
Gen5_Mut0_ID1	Gen1_Mut0_ID8	Gen4_Mut0_ID1	-	0.7946	0.5652	0.0463	0.5053	0.3043	0.5087	0.5383	0.7324	0.8261	0.6182	0.8336	0.4783	0	0.3043	0.1744	0.0870	0.1523	0.3043	0.7826	0.4348	0.5532	0.6522	0.4473	0.4071	0.3813	0.3043	0.9130	0.5023	0.8212	0.7454	0.0943	1	0.4783	0.2783	0.9565	0.7489	0.2952
Gen5_Mut0_ID2	Gen4_Mut0_ID5	Gen4_Mut0_ID7	-	0.6461	0.5652	0.2440	0.5064	0.8360	0.2174	0.5332	0.7341	0.2174	0.6742	0.8763	0.1388	0.5967	0.5217	0.5565	0.5381	0.0435	0.4204	0.2106	0.6957	0.5501	0.9661	0.2209	0.3967	0.6316	0.3352	0.8038	0.4029	0.8528	0.8553	0.0176	0.5084	0.4001	0.4854	0.5006	0.5489	0.2615
Gen5_Mut0_ID3	Gen4_Mut0_ID7	Gen4_Mut0_ID5	-	0.4073	0.4370	0.0925	0.6332	0.4190	0.2090	0.8261	0.2174	0.2174	0.9427	0.3043	0.4470	0.1083	0.5289	0.3043	0.6561	0.7664	0.2463	0.2877	0.6957	0.1707	0.6481	0.0483	0.4768	0.4405	0.3352	0.3939	0.2609	0.6087	0.7414	0.7282	0.7424	0.7399	0.7227	0.7298	0.7314	0.7219
Gen5_Mut0_ID4	Gen4_Mut0_ID0	Gen3_Mut0_ID3	-	0.8251	0.9130	0.3043	0.4783	0.7888	0.2424	0.8261	1	0.2174	1	0.3732	0.5217	0.8215	0.5371	0.6087	0.5217	0.7823	1	0.2993	0.3062	0.5154	0.6087	0.0429	0.3503	0.7513	0.2759	0.0870	0.1842	0.5954	0.8861	0.4708	0.6522	0.4001	0.4526	0.8679	0.3913	0.1821
Gen5_Mut0_ID5	Gen3_Mut0_ID3	Gen4_Mut0_ID0	-	0.6087	0.6957	0.3478	0.6346	0.8179	0.5652	0.8261	0.2174	0.2174	1	0.8730	0.4323	0.7631	0.5135	0.4979	0.5312	0.6957	0.9343	0.2221	0	0.5496	0.9661	0.0360	0.1915	0.8696	0.1301	0.0870	0.2701	0.6272	0.8192	0.1432	1	0.3913	0.2346	0.5033	0.5489	0.3546
Gen5_Mut0_ID6	Gen3_Mut0_ID4	Gen1_Mut0_ID5	-	0.4826	0.5253	0.7391	0.5126	0.4348	0.2244	0.5469	0.7391	0.2174	0.6046	0.3043	0.8710	0.7391	0.5217	0.3043	0.7391	0.3895	0.1600	0.7529	0.1680	0.3276	0.6480	0.3043	0.5459	0.4622	0.3379	0.3043	0.2159	0.8350	0.9323	0.6514	0.3772	0.1398	0.3913	0.4633	0.1777	0.3478
Gen5_Mut0_ID7	Gen1_Mut0_ID5	Gen3_Mut0_ID4	-	0.8314	0.3108	0.0463	0.0251	0.5104	0.3043	0.7383	0.3478	0.2064	0.1285	0.1304	0.5124	0.7758	0.9130	0.4783	0.7813	0.0453	0.7530	0.2877	0.7016	0.2070	0.7213	0.2031	0.4569	0.3710	0.1699	0	0.5325	0.0870	0.3913	0.3043	0.4555	0.1739	0.4642	0.8696	0.5507	0.2664
Gen5_Mut0_ID8	Gen3_Mut0_ID11	Gen4_Mut0_ID4	-	0.6600	0.6857	0.3478	0.8923	0.8812	0.5262	0.7589	0.6977	0.8261	0.6833	0.9556	0.5124	0.6631	0.9492	0.5995	0.4426	0.3592	0.1739	0.3043	0.1215	0.5134	0.6087	0.0861	0.1438	0.5144	0.2992	0.3028	0.2470	0.8094	0.7830	0.2043	0.7826	0.5748	0.1874	0.1313	0.4299	0.3531
Gen5_Mut0_ID9	Gen4_Mut0_ID4	Gen3_Mut0_ID11	-	0.7821	0.4537	0.3483	0.4797	0.8261	0.1739	0.6090	0.9635	0.4348	0.8507	0.4350	0.1256	0.7631	0.5114	0.2098	0.1517	0.7396	0.8633	0.2747	0.3062	0.5777	0.6522	0.1812	0.4854	0.7782	0.2867	0.0885	0.6379	0.9424	0.2343	0.0176	0.6762	0.9565	0.4918	0.9095	0.0049	0.2952
