ID	Parent1	Parent2	Sex	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_grd_cvr	ptn_grd_sig	ptn_grd_hgt	ptn_grd_agl	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	col_mac_lmv	col_mac_rgv	col_mac_byv	col_top_lmv	col_top_rgv	col_top_byv	col_bot_lmv	col_bot_rgv	col_bot_byv	col_grd_sig	col_grd_hgt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp
Gen0_Mut0_ID0	-	-	-	1	0.7826	0.4348	0.8261	0.6957	0.2174	0.3043	0.1304	0.3913	1	0.1304	0	1	0.6522	0.5652	0.4348	0.08696	0.1739	0.7391	0.5652	0.2609	0.1739	0.2174	0.7391	0.4783	0.6087	0.6957	0.2174	0.7826	0.1739	0.1739	0.2174	1	1	0.9565	0	1
Gen0_Mut0_ID1	-	-	-	0.2174	0.04348	0.7391	0.3913	0.2609	0.6522	0.3913	0.2609	0.6522	0.7391	0.5652	0.3913	0.2609	0.5217	0.3478	0.7391	0.4783	0.913	0.3043	0.1739	0.4348	0.2174	0.2609	1	0.0870	0.6957	0.5652	0.4783	1	0	0.7391	0.3913	0.04348	0.3913	0.3043	0.913	0.5652
Gen0_Mut0_ID2	-	-	-	0.6087	0	0.04348	0.4783	0.5652	0.7391	0.4783	0.04348	0.7826	0.04348	0.7826	0.5217	0.6087	0.2174	0.4348	0.9565	0.3913	0.08696	0.1739	0.9565	0.5217	1	0.8696	0.3043	0.6522	0	0.9130	0.8696	0.6957	0.5217	0.04348	0.3478	0.1304	0.1304	0.2174	0.6087	0.2174
Gen0_Mut0_ID3	-	-	-	0.08696	0.08696	0.08696	0.1304	0.08696	0.2609	0.6957	0.8261	0.9565	0.5652	0.4783	0.3478	0.4348	0.7826	0.04348	0.3478	0.5217	0.3043	0.1304	0.6522	1	0.6087	0.0870	0.8696	0.9130	0.2609	0.5217	0.5652	0.2174	0.04348	0.6087	0.1304	0.3913	0.8261	0.6087	1	0.8261
Gen0_Mut0_ID4	-	-	-	0.04348	0.3913	0.2609	0.913	0.2174	0.3478	0.913	0.2174	0.2174	0.6522	1	0.913	0.2174	0	0.4783	0	0.8261	0.3478	0.9565	0.6957	0.6957	0.4348	0.1304	0.9565	0.1739	0.4348	1	0.9565	0.3478	0.2609	0.5652	0.6522	0.8696	0.4783	0.8696	0.8696	0.5217
Gen0_Mut0_ID5	-	-	-	0.3913	0.2174	0.6522	0.08696	0.6522	0.6087	0.6522	0.6522	0.1304	0.4783	0.9565	0.4348	0.7391	0.2609	0	0.04348	1	0.5217	0.2609	0.4348	0.1304	0.5652	0.3913	0	0.2609	0.0870	0.8696	0.6957	0.08696	0.7826	1	0.913	0.6522	0.04348	0.7391	0.5217	0.4783
Gen0_Mut0_ID6	-	-	-	0.9565	0.5217	0	0.7826	0.3043	0.4348	0.5217	0.08696	0.8261	0.5217	0.2609	0.8261	0.3913	0.08696	0.913	0.7826	0.6087	0.6087	0.7826	0	0.3913	0.3913	0.4348	0.7826	0.5652	0.3913	0.0870	0	0.8261	0.3043	0.4348	1	0.7391	0.9565	0.1739	0.6522	0.9565
Gen0_Mut0_ID7	-	-	-	0.913	0.1304	0.1304	0.1739	0.5217	0.08696	0.08696	0.5217	0.5217	0	0.08696	0.7391	0.3478	0.3478	0.8696	0.5217	0.7391	0.4348	0.5652	0.2174	0.9565	0.2609	0.4783	0.0435	0.5217	0.7826	0.6087	0.7391	0.3913	0.2174	0.2174	0.6957	0.6957	0.5652	0.6957	0.2609	0.4348
Gen0_Mut0_ID8	-	-	-	0	0.6957	1	0.8696	0.8696	0.3043	0.9565	0.3478	1	0.3478	0.8696	0.1304	0.5217	0.8261	0.7826	0.4783	0.2174	0.3913	0.0870	0.7826	0.6522	0.1304	0.3043	0.3478	0.4348	0.1739	0.2174	0.3913	0.8696	0.6957	0.3043	0.8696	0.9565	0.6522	0.2609	0.8261	0.3478
Gen0_Mut0_ID9	-	-	-	0.6957	0.6522	0.5652	0.5652	0	0.5217	0.3478	0.7826	0.1739	0.7826	0.1739	0.6087	0.3043	0.1304	0.1739	0.3043	0.4348	0.9565	0.2174	0.9130	0.7391	0.9130	0.9130	0.4783	0.6087	0.1304	0.7391	0.4348	0.04348	0.8696	0.5217	0.7826	0.1739	0.3478	0.5652	0.2174	0
Gen0_Mut0_ID10	-	-	-	0.1304	0.4783	0.3913	0.2609	0.7391	0.9565	0.04348	0.7391	0.4348	0.2174	0.8261	0.8696	0.7826	0.913	0.9565	0.2609	0	0.7391	0.8261	0.0435	0.1739	0.6522	0.5217	0.2609	0.8261	0.7391	0.3913	0.1739	0.9565	0.3913	0.2609	0.7391	0.6087	0.08696	0.04348	0.04348	0.6087
