visible:R:Normalised,visible:G:Normalised,visible:B:Normalised,uv:B:Normalised,uv:R:Normalised
38.277020332,38.327338484,38.393173514,29.584550729,26.608480405
39.385118161,14.259531147,19.170452627,29.958186373,24.853500250
29.839092173,50.184243360,57.813507232,30.999281952,26.513204829
9.583682816,17.607093491,12.061339694,7.587165597,6.919128345
5.690804803,9.535664888,19.589303503,6.601739957,4.778676720
7.495427156,12.092680413,13.175615054,8.271437160,6.647090534
22.034089846,21.914557775,22.039905817,18.915360307,17.677815917
36.564101171,17.156247915,8.465480174,7.715438804,8.327250532
10.015821112,7.279345463,5.694786339,5.375924583,5.433491861
73.958673199,40.194645952,10.725864578,7.099881669,8.856773668
60.461509514,21.549790482,6.860366427,8.975672650,11.024718370
78.867737589,67.184571147,31.311689020,11.390134986,11.285686135
69.670063667,32.781736909,9.579477323,7.898394285,9.718080163
43.492964261,23.531911218,16.606834920,15.251132743,15.437678396
20.241072418,39.586788173,59.725200073,19.936685564,13.682149445
69.447512707,33.424483588,22.631164595,19.509607556,18.103504396
78.753600749,57.522897212,16.235167990,8.342768750,10.349795630
38.664454074,9.965349199,7.288136456,10.678889435,9.901337404
10.342141910,22.473496444,38.393375558,9.662485577,6.497781424
72.346568436,54.382352304,39.124173668,26.801213270,23.337250777
65.910141892,37.508506305,42.358748222,57.657871187,52.832680280
8.447945382,12.612902510,10.620688289,7.890150656,7.059808295
40.711739085,39.768184533,38.402573438,22.951313208,18.783082751
13.293615279,14.579475286,29.035990731,20.333003052,15.128483800
14.706903354,13.629678924,12.562468550,10.249373912,9.562596925
31.728131009,11.942053339,12.652423669,20.703609910,21.517328399
9.758191258,15.644226139,23.812440466,18.286254962,15.187053315
18.260798677,11.710326833,8.668476435,7.756890166,7.669186345
20.647138360,39.732661979,34.714298110,15.758632134,14.649537905
42.529887546,27.238078483,21.398767597,20.717965082,21.155598925
42.532413871,40.584669877,24.535883425,16.205730495,16.413336209
45.189477797,45.936219090,33.008872177,17.484779031,16.753389437
9.512867055,20.216181681,35.351003550,8.935051066,6.099076696
54.054276478,18.860687714,17.504596555,28.563805201,30.895211091
80.130747191,60.687718778,22.387234260,16.689588238,19.953385789
28.559457676,27.203269487,25.292143905,18.908916058,17.149986725
45.883457893,58.765406785,42.409705831,28.245628241,27.244999315
30.904358967,14.745524137,9.431518592,8.954024022,9.302527055
90.408738590,88.671422959,85.312134408,28.630759632,21.682378702
45.267675544,13.914061654,11.905124727,19.828200413,18.207155340
47.524200978,13.198612217,6.562800929,9.557088709,10.404849632
22.083266250,20.095194956,35.112006990,31.126244589,29.721654712
10.356695013,15.758694492,15.315172085,10.640374640,8.924312078
26.323452797,37.330545831,16.639576355,10.627291725,11.827396854
14.937209070,11.419233642,8.924822587,6.683197078,6.382612255
13.861803954,30.341756664,48.992474701,14.890186757,9.458996773
55.998403409,29.595312336,41.255523772,48.653912696,44.538950388
85.361236725,81.717412447,77.358521565,29.736239500,23.710205489
81.674106730,54.653460359,22.012180884,18.216484348,21.465695778
3.934008790,3.793407397,3.682470669,3.803698732,3.629447997
18.899757888,36.714610919,49.387190617,18.659332550,13.412965120
75.112124392,48.698693537,41.854611898,25.851816047,21.753506458
63.428176195,22.168409313,11.875996067,14.836222122,17.435309375
24.571238854,25.859292333,19.031264167,8.423953244,7.677310984
34.879266117,22.186535613,35.210534440,38.905366888,35.866501651
58.590999754,16.663141247,10.674822439,18.923050581,21.047294903
51.978983835,51.869031129,51.384084063,25.499766972,20.102548352
28.271518814,12.043864941,7.605644557,6.796579935,6.616560307
84.985791985,81.638319429,77.364540922,29.521830158,23.388105907
23.643357740,24.747111498,19.184814518,18.872601450,19.800383876
19.274633722,8.453062159,8.678361241,13.787290878,12.047244562
37.214737553,26.258278358,15.277003821,12.013230460,12.497587510
23.917050048,7.448421766,7.048649185,12.204465889,12.878527725
17.763705642,27.273906349,50.979473108,52.144565728,48.381364666
35.134722289,54.792010428,71.283899310,41.792611222,32.390025107
46.150874347,11.952777931,10.746051457,19.507557000,20.980928005
73.195151713,32.787086747,14.720596963,14.435503439,17.285603844
58.543787194,41.200450682,19.624786710,7.554944221,7.295011447
54.252637509,38.503764513,18.962987006,7.968544088,7.655623366
35.332323555,39.352004021,50.177872941,60.017207364,57.055151767
21.880819709,32.910304756,15.509415503,11.070339553,12.349633450
72.892946605,61.384052720,44.516532873,25.547978787,23.671037974
64.813836834,50.911999546,32.520768041,18.019948591,17.548025712
44.267837008,22.903215457,11.688223425,10.052345991,11.208959965
76.163817152,65.720262149,51.068083700,31.788213831,29.634051829
4.031443600,3.824038109,3.618335918,3.644131833,3.448168663
12.680937696,18.058906161,12.660924960,9.181047383,8.840579301
18.990945907,40.424135822,38.253916989,13.246277826,12.111079112
28.054325637,12.376959082,6.646028044,6.074137972,6.159390467
7.397311859,13.669877175,28.882064410,10.450325401,7.005769441
23.962279068,8.790166080,5.426400795,5.480561825,5.379735986
44.454233940,51.595745008,64.167090963,62.482061745,59.603310940
13.100499352,11.055055838,7.554422439,7.099839560,7.305313858
10.409859037,8.946146392,6.858832451,6.829601942,6.938981675
9.557972114,16.804800769,20.025059517,11.020380545,8.117924522
81.231032858,66.939069245,32.324685928,21.357128325,20.804658265
5.093897986,7.427647834,11.301757197,6.270839634,4.669168631
25.626419352,27.336881309,14.278838607,8.758646348,8.985054315
52.577640185,36.059758578,43.055367448,58.897747199,53.498100267
10.879017176,22.893635510,32.400034075,11.714238644,8.210442388
12.595326566,12.501883966,23.309886075,37.168748407,33.644320258
32.147074467,14.774442904,23.211651981,32.689692035,28.536936771
6.719039770,12.379043302,20.434953767,12.854698335,10.098484444
19.243935475,14.888337110,8.873082704,8.456494287,9.108520317
24.987818826,6.595669009,5.748691743,10.580086349,11.614870505
30.833116515,18.422514783,9.341241051,8.960162725,9.846439116
6.508278660,9.022736229,9.450906896,8.131814628,7.235463331
29.859189832,14.112217047,16.888128889,27.610017045,28.873807404
29.185094043,29.285586160,29.260251279,24.552132233,22.276438672
12.919976975,9.378165562,6.554375661,6.442705875,6.592718362
